Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22)
0.00012674563505964462,0.05595639656,0.054,0.0,0.0,5.630759406687329e-05,0.8601796623278847,0.0,0.0,0.0,0.06599991725838159,0.0,0.03964067534422454,8.27416185724221e-08
0.00012711059418875047,0.05595639656,0.054,0.0,0.0,5.614618214553538e-05,0.8601795815033189,0.0,0.0,0.0,0.06599991749559217,0.0,0.03964083699335645,8.250440798801613e-08
0.00012747555331785632,0.05595639656,0.054,0.0,0.0,5.598569300406419e-05,0.8601795011408209,0.0,0.0,0.0,0.0659999177314465,0.0,0.039640997718352264,8.226855364694905e-08
0.00012780401653405158,0.05595639656,0.054,0.0,0.0,5.584203522997758e-05,0.8601794292063746,0.0,0.0,0.0,0.06599991794256543,0.0,0.039641141587245264,8.205743474107777e-08
0.00012813247975024684,0.05595639656,0.054,0.0,0.0,5.569911282478222e-05,0.8601793576401529,0.0,0.0,0.0,0.0659999181526035,0.0,0.03964128471968857,8.184739663257888e-08
0.0001284609429664421,0.05595639656,0.054,0.0,0.0,5.5556920156422175e-05,0.8601792864393359,0.0,0.0,0.0,0.06599991836156911,0.0,0.03964142712132251,8.16384310414718e-08
0.00012878940618263736,0.05595639656,0.054,0.0,0.0,5.541545165020642e-05,0.860179215601132,0.0,0.0,0.0,0.06599991856947039,0.0,0.039641568797729995,8.143052977711593e-08
0.00012911786939883262,0.05595639656,0.054,0.0,0.0,5.527470178808045e-05,0.8601791451227786,0.0,0.0,0.0,0.06599991877631543,0.0,0.03964170975443718,8.122368472774655e-08
0.00012941348629340836,0.05595639656,0.054,0.0,0.0,5.514863683726612e-05,0.8601790819976709,0.0,0.0,0.0,0.06599991896157954,0.0,0.0396418360046521,8.103842060745595e-08
0.0001297091031879841,0.05595639656,0.054,0.0,0.0,5.502314561950034e-05,0.8601790191598517,0.0,0.0,0.0,0.06599991914600047,0.0,0.03964196168029076,8.085399971987727e-08
0.00013000472008255985,0.05595639656,0.054,0.0,0.0,5.489822422696815e-05,0.8601789566073639,0.0,0.0,0.0,0.06599991932958384,0.0,0.039642086785266685,8.067041632275547e-08
0.0001303003369771356,0.05595639656,0.054,0.0,0.0,5.4773868787266465e-05,0.8601788943382681,0.0,0.0,0.0,0.06599991951233543,0.0,0.039642211323457986,8.048766472148405e-08
0.00013059595387171133,0.05595639656,0.054,0.0,0.0,5.465007546299409e-05,0.8601788323506433,0.0,0.0,0.0,0.06599991969426089,0.0,0.03964233529870771,8.030573927538842e-08
0.00013089157076628708,0.05595639656,0.054,0.0,0.0,5.4526840451365505e-05,0.8601787706425851,0.0,0.0,0.0,0.06599991987536576,0.0,0.03964245871482421,8.012463439852716e-08
0.00013118718766086282,0.05595639656,0.054,0.0,0.0,5.440415998382662e-05,0.8601787092122064,0.0,0.0,0.0,0.06599992005565564,0.0,0.039642581575581606,7.994434454722857e-08
0.00013145324286598098,0.05595639656,0.054,0.0,0.0,5.4294218610798435e-05,0.8601786541607356,0.0,0.0,0.0,0.0659999202172242,0.0,0.03964269167852319,7.978277599077194e-08
0.00013169269255058734,0.05595639656,0.054,0.0,0.0,5.419565060621041e-05,0.8601786048043062,0.0,0.0,0.0,0.0659999203620785,0.0,0.039642790391382104,7.963792165600143e-08
0.0001319321422351937,0.05595639656,0.054,0.0,0.0,5.409743984767193e-05,0.8601785556267622,0.0,0.0,0.0,0.06599992050640778,0.0,0.03964288874646993,7.949359237381374e-08
0.00013217159191980006,0.05595639656,0.054,0.0,0.0,5.3999584396494313e-05,0.860178506627133,0.0,0.0,0.0,0.06599992065021489,0.0,0.03964298674572818,7.934978529414771e-08
0.00013241104160440642,0.05595639656,0.054,0.0,0.0,5.390208232798891e-05,0.8601784578044549,0.0,0.0,0.0,0.06599992079350256,0.0,0.03964308439108439,7.920649758926305e-08
