Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20)
1.1956161750628015e-10,0.08314471999999999,2.3322972373316343e-06,1.3364915361257254e-05,8.982109164793378e-07,5.626745702835423e-09,8.598105223250992e-08,1.3604283609243631e-11,1.26316464679361e-17,1.8339071593129202e-13,1.52913199719341e-29,2.1139498550922836e-31,1.4891965238233238e-11,0.054,0.0,0.0,0.05896748817490868,0.8799933144611946,5.204240160551971e-10,2.951448195716448e-25,1.128026785428521e-19,0.06599668349700605,3.52549318250982e-22,1.0635168229494273e-06
1.2041639017817277e-10,0.08314471999999999,2.3322928746000367e-06,1.3460393597927932e-05,9.030299268143294e-07,5.700171253999289e-09,8.77419751635264e-08,1.401761275066318e-11,1.3116165698346575e-17,1.8879518637350704e-13,1.5291787648430176e-29,-3.3495209036331254e-31,1.5205762650953965e-11,0.054,0.0,0.0,0.058967377808770115,0.8799932666777338,5.35364294549154e-10,3.155689841230531e-25,1.1797641958281138e-19,0.0659966769210168,3.525493394852302e-22,1.0717549962413087e-06
1.212711628500654e-10,0.08314471999999999,2.3322885125826155e-06,1.355587086726807e-05,9.078179114930735e-07,5.7738863313201254e-09,8.952483967318028e-08,1.4440457122302816e-11,1.3615447961957357e-17,1.9431446094699148e-13,1.5291089797237818e-29,5.14544383402973e-31,1.552321791976121e-11,0.054,0.0,0.0,0.05896726744041218,0.8799932188944544,5.506156774268035e-10,3.372484434722107e-25,1.2334649131825744e-19,0.06599667035410127,3.525493104550148e-22,1.0800051367589252e-06
1.22125935521958e-10,0.08314471999999999,2.3322841512622858e-06,1.3651347169895454e-05,9.12574758677835e-07,5.847886398466658e-09,9.132971703497185e-08,1.4872965168028915e-11,1.4129825745492564e-17,1.9994997841342783e-13,1.529203674285028e-29,-8.139109183529074e-31,1.5844324036607843e-11,0.054,0.0,0.0,0.058967157069851395,0.8799931711113566,5.661820823579105e-10,3.6025072187563844e-25,1.289187906549597e-19,0.06599666379629987,3.5254928574774067e-22,1.0882672723747588e-06
1.2298070819385062e-10,0.08314471999999999,2.3322797906215344e-06,1.3746822506424701e-05,9.173003585494413e-07,5.922166912078714e-09,9.315667700288339e-08,1.5315286475729408e-11,1.4659636285098463e-17,2.057031801723178e-13,1.529048372040356e-29,1.3861845645641172e-30,1.6169073300438162e-11,0.054,0.0,0.0,0.05896704669710477,0.8799931233284402,5.820674379684164e-10,3.8464646020409874e-25,1.3469934441525658e-19,0.06599665724765261,3.525492831364083e-22,1.0965414299307607e-06
1.2383548086574324e-10,0.08314471999999999,2.3322754306424848e-06,1.3842296877467136e-05,9.219946033122929e-07,5.996723322215594e-09,9.500578780931148e-08,1.5767571773433794e-11,1.520522158932285e-17,2.1157551010890676e-13,1.5292963040533237e-29,-2.4662415866407443e-30,1.649745731882485e-11,0.054,0.0,0.0,0.058966936322189877,0.8799930755457053,5.9827568348249e-10,4.105095359130821e-25,1.4069431111256838e-19,0.06599665070819885,3.525492961961737e-22,1.1048276352394744e-06
1.2469025353763586e-10,0.08314471999999999,2.33227107130696e-06,1.3937770283630746e-05,9.266573871991883e-07,6.071551072804706e-09,9.687711616314877e-08,1.6229972925330376e-11,1.5766928461732756e-17,2.175684144421072e-13,1.5288602356405338e-29,4.545378237271971e-30,1.6829467009779654e-11,0.054,0.0,0.0,0.0589668259451248,0.8799930277631517,6.148107683632386e-10,4.379171866790775e-25,1.4690998273259073e-19,0.06599664417797757,3.5254928949341232e-22,1.1131259130852802e-06
1.2554502620952847e-10,0.08314471999999999,2.332266712596527e-06,1.4033242725520048e-05,9.312886064759673e-07,6.14664560209039e-09,9.877072724801653e-08,1.6702642927681514e-11,1.6345108523152212e-17,2.2368334157243944e-13,1.529640249351254e-29,-8.705881210038856e-30,1.7165092603737123e-11,0.054,0.0,0.0,0.05896671556592818,0.8799929799807797,6.316766519521277e-10,4.669501377841572e-25,1.53352786521022e-19,0.06599663765702715,3.52549294417851e-22,1.121436287225759e-06
1.263997988814211e-10,0.08314471999999999,2.3322623544925434e-06,1.4128714203736027e-05,9.358881594459709e-07,6.222002343082873e-09,1.00686684720648e-07,1.718573590463673e-11,1.6940118233512277e-17,2.29921741930016e-13,1.528162956258541e-29,1.7290543763959548e-29,1.7504323645711896e-11,0.054,0.0,0.0,0.05896660518461915,0.8799929321985891,6.488773031071595e-10,4.976927333448015e-25,1.6002928677764682e-19,0.06599663114538547,3.5254926094336914e-22,1.1297587803931753e-06
1.272545715533137e-10,0.08314471999999999,2.3322579969761942e-06,1.4224184718876047e-05,9.404559464543136e-07,6.297616724007277e-09,1.0262505070942308e-07,1.767940710394431e-11,1.755231891331606e-17,2.3628506782259016e-13,1.5310450717466504e-29,-3.550287943983348e-29,1.784714899762881e-11,0.054,0.0,0.0,0.058966494801217385,0.8799928844165801,6.664166998398588e-10,5.302330714743135e-25,1.6694618665659318e-19,0.06599662464308995,3.5254931088368606e-22,1.1380934142960812e-06
