Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49)
0.00019280176329568988,0.05595639656,0.054,0.0,0.0,3.7036352084094094e-05,0.86017001254687,0.0,0.0,0.0,0.06599994557843473,0.0,0.03965997490622102,5.4421565468691e-08,9.897856480978716e-15
0.00019341764667534983,0.05595639656,0.054,0.0,0.0,3.691854523124672e-05,0.860169953556885,0.0,0.0,0.0,0.06599994575155209,0.0,0.03966009288619123,5.4248448112969937e-08,9.897915369092328e-15
0.0001940335300550098,0.05595639656,0.054,0.0,0.0,3.6801485460580835e-05,0.8601698949409898,0.0,0.0,0.0,0.06599994592357153,0.0,0.039660210117981334,5.407642866431737e-08,9.897973883935421e-15
0.00019464941343466975,0.05595639656,0.054,0.0,0.0,3.6685165687980526e-05,0.8601698366956376,0.0,0.0,0.0,0.06599994609450349,0.0,0.039660326608685896,5.390549671130739e-08,9.898032029045884e-15
0.0001952652968143297,0.05595639656,0.054,0.0,0.0,3.656957891861427e-05,0.8601697788173254,0.0,0.0,0.0,0.06599994626435822,0.0,0.03966044236531,5.373564197374984e-08,9.898089807916971e-15
0.00019588118019398966,0.05595639656,0.054,0.0,0.0,3.645471824553297e-05,0.8601697213025952,0.0,0.0,0.0,0.06599994643314591,0.0,0.03966055739477076,5.356685430062257e-08,9.898147223998108e-15
0.0001964970635736496,0.05595639656,0.054,0.0,0.0,3.634057684829353e-05,0.8601696641480311,0.0,0.0,0.0,0.06599994660087655,0.0,0.03966067170389862,5.3399123668045664e-08,9.898204280695525e-15
0.00019711294695330957,0.05595639656,0.054,0.0,0.0,3.622714799160849e-05,0.8601696073502609,0.0,0.0,0.0,0.06599994676756003,0.0,0.039660785299438804,5.323244017729934e-08,9.898260981372954e-15
0.00019772883033296952,0.05595639656,0.054,0.0,0.0,3.6114425024021166e-05,0.8601695509059542,0.0,0.0,0.0,0.06599994693320614,0.0,0.03966089818805252,5.3066794052875875e-08,9.898317329352259e-15
0.00019834471371262948,0.05595639656,0.054,0.0,0.0,3.600240137660565e-05,0.8601694948118211,0.0,0.0,0.0,0.06599994709782456,0.0,0.03966101037631835,5.2902175640568546e-08,9.898373327914126e-15
0.00019896059709228944,0.05595639656,0.054,0.0,0.0,3.5891070561690774e-05,0.8601694390646136,0.0,0.0,0.0,0.06599994726142482,0.0,0.03966112187073351,5.273857540559631e-08,9.898428980298664e-15
0.0001995764804719494,0.05595639656,0.054,0.0,0.0,3.5780426171607545e-05,0.8601693836611227,0.0,0.0,0.0,0.06599994742401627,0.0,0.03966123267771506,5.2575983930762556e-08,9.898484289706058e-15
0.00020019236385160935,0.05595639656,0.054,0.0,0.0,3.567046187745965e-05,0.8601693285981797,0.0,0.0,0.0,0.06599994758560829,0.0,0.03966134280360123,5.241439191464805e-08,9.898539259297157e-15
0.0002008082472312693,0.05595639656,0.054,0.0,0.0,3.556117142791674e-05,0.860169273872654,0.0,0.0,0.0,0.06599994774621003,0.0,0.039661452254652514,5.225379016983721e-08,9.898593892194092e-15
0.00020142413061092926,0.05595639656,0.054,0.0,0.0,3.545254864802977e-05,0.8601692194814539,0.0,0.0,0.0,0.06599994790583057,0.0,0.03966156103705294,5.209416962117677e-08,9.898648191480868e-15
0.00020204001399058922,0.05595639656,0.054,0.0,0.0,3.534458743806801e-05,0.8601691654215248,0.0,0.0,0.0,0.0659999480644789,0.0,0.039661669156911224,5.1935521304066384e-08,9.898702160203947e-15
0.00020265589737024917,0.05595639656,0.054,0.0,0.0,3.5237281772377154e-05,0.8601691116898496,0.0,0.0,0.0,0.06599994822216383,0.0,0.03966177662026186,5.177783636278024e-08,9.898755801372794e-15
0.00020327178074990913,0.05595639656,0.054,0.0,0.0,3.5130625698258183e-05,0.8601690582834473,0.0,0.0,0.0,0.06599994837889413,0.0,0.0396618834330663,5.162110604881914e-08,9.898809117960459e-15
0.00020388766412956908,0.05595639656,0.054,0.0,0.0,3.502461333486669e-05,0.8601690051993734,0.0,0.0,0.0,0.06599994853467846,0.0,0.03966198960121402,5.1465321719292733e-08,9.898862112904111e-15
0.00020450354750922904,0.05595639656,0.054,0.0,0.0,3.4919238872131794e-05,0.8601689524347185,0.0,0.0,0.0,0.06599994868952536,0.0,0.03966209513052363,5.131047483533044e-08,9.898914789105615e-15
0.000205119430888889,0.05595639656,0.054,0.0,0.0,3.48144965696948e-05,0.8601688999866084,0.0,0.0,0.0,0.06599994884344323,0.0,0.039662200026743935,5.115655696052137e-08,9.89896714943201e-15
0.00020573531426854895,0.05595639656,0.054,0.0,0.0,3.4710380755866694e-05,0.8601688478522028,0.0,0.0,0.0,0.06599994899644045,0.0,0.03966230429555497,5.100355975938217e-08,9.899019196716063e-15
0.0002063511976482089,0.05595639656,0.054,0.0,0.0,3.460688582660438e-05,0.8601687960286959,0.0,0.0,0.0,0.0659999491485252,0.0,0.03966240794256899,5.085147499585212e-08,9.89907093375675e-15
0.00020696708102786886,0.05595639656,0.054,0.0,0.0,3.4504006244505164e-05,0.8601687445133146,0.0,0.0,0.0,0.06599994929970565,0.0,0.039662510973331566,5.0700294531815306e-08,9.899122363319818e-15
0.00020758296440752882,0.05595639656,0.054,0.0,0.0,3.440173653781912e-05,0.8601686933033191,0.0,0.0,0.0,0.06599994944998987,0.0,0.03966261339332245,5.0550010325648906e-08,9.899173488138189e-15
0.00020819884778718877,0.05595639656,0.054,0.0,0.0,3.430007129947899e-05,0.860168642396002,0.0,0.0,0.0,0.06599994959938575,0.0,0.03966271520795669,5.040061443079715e-08,9.899224310912526e-15
0.00020881473116684873,0.05595639656,0.054,0.0,0.0,3.419900518614715e-05,0.8601685917886877,0.0,0.0,0.0,0.0659999497479012,0.0,0.03966281642258546,5.0252098994370865e-08,9.899274834311655e-15
0.00020943061454650869,0.05595639656,0.054,0.0,0.0,3.4098532917279524e-05,0.8601685414787318,0.0,0.0,0.0,0.06599994989554393,0.0,0.03966291704249707,5.0104456255771256e-08,9.899325060973073e-15
0.00021004649792616864,0.05595639656,0.054,0.0,0.0,3.3998649274205826e-05,0.8601684914635216,0.0,0.0,0.0,0.06599995004232165,0.0,0.03966301707291784,4.995767854533817e-08,9.899374993503361e-15
0.0002106623813058286,0.05595639656,0.054,0.0,0.0,3.38993490992259e-05,0.8601684417404739,0.0,0.0,0.0,0.06599995018824192,0.0,0.039663116519013095,4.981175828302186e-08,9.899424634478695e-15
0.00021127826468548855,0.05595639656,0.054,0.0,0.0,3.3800627294722034e-05,0.8601683923070366,0.0,0.0,0.0,0.06599995033331223,0.0,0.03966321538588789,4.966668797707822e-08,9.899473986445206e-15
