Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12)
7.41254684344689e-12,0.066515776,0.938,0.0,1.4555759054281746e-08,0.0,5.790747790799284e-16,9.673877022964575e-10,0.0,0.0,0.03936145305969607,0.00999999272212033,0.04999932124508621,0.0,0.0,0.001999999032612299,0.0,6.787549135561005e-07
7.471885804413728e-12,0.066515776,0.938,0.0,1.4672279437848983e-08,0.0,5.904821566680137e-16,9.75118905798621e-10,0.0,0.0,0.039361451320685366,0.009999992663860134,0.049999319630327096,0.0,0.0,0.001999999024881095,0.0,6.803696726597934e-07
7.531224765380567e-12,0.066515776,0.938,0.0,1.4788799810461115e-08,0.0,6.020075842092017e-16,9.82849904505215e-10,0.0,0.0,0.03936144960816585,0.009999992605599944,0.04999931804205895,0.0,0.0,0.001999999017150096,0.0,6.819579407975915e-07
7.590563726347406e-12,0.066515776,0.938,0.0,1.4905320172273696e-08,0.0,6.136510423240523e-16,9.905806984268337e-10,0.0,0.0,0.03936144792170291,0.009999992547339763,0.04999931647984718,0.0,0.0,0.0019999990094193027,0.0,6.835201525669565e-07
7.649902687314245e-12,0.066515776,0.938,0.0,1.502184052343975e-08,0.0,6.254125084922627e-16,9.983112875739858e-10,0.0,0.0,0.0393614462608691,0.009999992489079585,0.0499993149432643,0.0,0.0,0.0019999990016887135,0.0,6.850567354355613e-07
7.709241648281083e-12,0.066515776,0.938,0.0,1.5138360864109765e-08,0.0,6.372919571609366e-16,1.006041671957095e-09,0.0,0.0,0.03936144462524394,0.009999992430819412,0.049999313431889875,0.0,0.0,0.001999998993958329,0.0,6.865681098582603e-07
7.768580609247922e-12,0.066515776,0.938,0.0,1.5254881194431796e-08,0.0,6.492893598501493e-16,1.0137718515865033e-09,0.0,0.0,0.039361443014413876,0.009999992372559245,0.049999311945310335,0.0,0.0,0.0019999989862281493,0.0,6.880546893921363e-07
7.82791957021476e-12,0.066515776,0.938,0.0,1.5371401514551427e-08,0.0,6.614046852558638e-16,1.021501826472472e-09,0.0,0.0,0.039361441427972155,0.009999992314299083,0.049999310483118904,0.0,0.0,0.001999998978498174,0.0,6.895168808096635e-07
7.8872585311816e-12,0.066515776,0.938,0.0,1.5487921824611906e-08,0.0,6.736378993502586e-16,1.029231596625182e-09,0.0,0.0,0.03936143986551866,0.009999992256038925,0.04999930904491551,0.0,0.0,0.001999998970768404,0.0,6.909550842100105e-07
7.946597492148438e-12,0.066515776,0.938,0.0,1.5604442124754087e-08,0.0,6.859889654795227e-16,1.0369611620547356e-09,0.0,0.0,0.03936143832665987,0.00999999219777877,0.04999930763030659,0.0,0.0,0.001999998963038839,0.0,6.923696931285209e-07
