Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),H2O_X(16),He,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
3.4405638720908854e-07,0.041572359999999996,0.00041673440742263544,0.009269804401669671,2.8190391322582523e-18,2.1848793695430603e-12,3.1581127432240613e-12,2.4465093708386275e-12,5.962291195762613e-20,1.34300959885886e-19,4.1121361027959e-14,0.054,0.0,0.005059770871008023,0.8753650977952061,5.69431738693366e-12,2.1817933042798558e-29,1.0474553383699821e-29,0.06558326558697264,5.433521421179809e-37
3.4480144835031613e-07,0.041572359999999996,0.0004161659737219474,0.009277213814801644,2.8151923774188624e-18,2.1850064246036825e-12,3.1598486531237225e-12,2.4579712298014678e-12,6.012124705891247e-20,1.3466269136604938e-19,4.1126494486782636e-14,0.054,0.0,0.005052929891563408,0.8753613930886306,5.7131774234743165e-12,2.2088045346229962e-29,1.0578263131992924e-29,0.06558383402066015,5.520139784697077e-37
3.455465094915437e-07,0.041572359999999996,0.00041559909020777284,0.00928460318822937,2.8113561066155542e-18,2.185129662877609e-12,3.1615616629406504e-12,2.4694484961242643e-12,6.062231232809768e-20,1.3503150110467012e-19,4.113148334945387e-14,0.054,0.0,0.005046107401636535,0.8753576984019074,5.732039723978074e-12,2.2360690284748902e-29,1.068272029236042e-29,0.06558440090416114,5.607889583722993e-37
3.462170645186485e-07,0.041572359999999996,0.0004150902152160572,0.009291236557518474,2.807912391292162e-18,2.185237328287735e-12,3.1630838665236643e-12,2.479791128256394e-12,6.107561012665787e-20,1.3534914014589736e-19,4.113585021877206e-14,0.054,0.0,0.005039982907327174,0.8753543817172542,5.749017675460616e-12,2.2608248721992874e-29,1.0777373409925188e-29,0.065584909779141,5.68784112226879e-37
3.4688761954575333e-07,0.041572359999999996,0.00041458258614590274,0.009297853819372254,2.8044771022248524e-18,2.1853419286930645e-12,3.1645876593341655e-12,2.4901460899355267e-12,6.153112821240982e-20,1.3569603713360639e-19,4.114010093650269e-14,0.054,0.0,0.005033873274531581,0.8753510730863187,5.765997359181943e-12,2.285788205479443e-29,1.087263684096668e-29,0.06558541740819929,5.7687265723623355e-37
3.4755817457285814e-07,0.041572359999999996,0.00041407619842389324,0.009304455032422339,2.8010502083858598e-18,2.185443476597276e-12,3.1660731069050176e-12,2.5005133101079012e-12,6.198887075276393e-20,1.3601317108128295e-19,4.1144235960084386e-14,0.054,0.0,0.005027778449191546,0.8753477724797851,5.782978727325967e-12,2.3109601422546085e-29,1.0968512913178641e-29,0.06558592379590944,5.8505542753993465e-37
3.4822872959996295e-07,0.041572359999999996,0.0004135710474989818,0.009311040255016017,2.7976316790255476e-18,2.18554198444567e-12,3.167540274672397e-12,2.510892717845824e-12,6.244884189875004e-20,1.363068513389827e-19,4.114825574528847e-14,0.054,0.0,0.00502169837751083,0.8753444798684796,5.799961732265207e-12,2.336341798115486e-29,1.1065003955488395e-29,0.0655864289468225,5.933332621585463e-37
3.4889928462706776e-07,0.041572359999999996,0.0004130671288423534,0.00931760954521797,2.7942214835572206e-18,2.18563746462576e-12,3.16898922796285e-12,2.5212842423485817e-12,6.291104578884453e-20,1.3665994553644375e-19,4.115216074623636e-14,0.054,0.0,0.005015633005953566,0.8753411952233702,5.816946326560107e-12,2.361934290286626e-29,1.1162112298018595e-29,0.06558693286546731,6.0170700500280905e-37
3.4956983965417257e-07,0.041572359999999996,0.00041256443794728903,0.009324162960811969,2.7908195913771166e-18,2.1857299294679104e-12,3.1704200322331538e-12,2.5316878129433676e-12,6.337548654649331e-20,1.3699024883477034e-19,4.115595141541623e-14,0.054,0.0,0.005009582281242701,0.8753379185155644,5.8339324629583515e-12,2.387738737608826e-29,1.125984027208096e-29,0.06558743555635053,6.1017750488302806e-37
3.502403946812774e-07,0.041572359999999996,0.00041206297032903217,0.009330700559302579,2.7874259721739572e-18,2.1858193912459586e-12,3.171832752853764e-12,2.5421033590862238e-12,6.38421682765868e-20,1.3726529748926931e-19,4.1159628203699223e-14,0.054,0.0,0.005003546150358425,0.8753346497163106,5.8509200943942e-12,2.4137562605215323e-29,1.1358190210172099e-29,0.06558793702395695,6.1874561551827934e-37
