Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9)
1.2235999482232402e-12,0.066515776,0.938,0.0,2.4029808043944303e-09,0.0,8.239240905691841e-13,1.5990978191511802e-10,0.0,0.0,0.039361920159944386,0.009999998798608847,0.04999977538610053,0.0,0.0,0.001999999840090219,0.0,2.246128770718709e-07,1.2209432511970452e-12
1.2505433282195515e-12,0.066515776,0.938,0.0,2.4558974090945e-09,0.0,8.38230906152176e-13,1.6342996637614207e-10,0.0,0.0,0.03936191596874287,0.009999998772154647,0.049999771251358315,0.0,0.0,0.0019999998365700343,0.0,2.287475967658983e-07,1.2516637813735245e-12
1.2774867082158627e-12,0.066515776,0.938,0.0,2.508814143006893e-09,0.0,8.523971431527113e-13,1.6695010819351225e-10,0.0,0.0,0.03936191180848017,0.009999998745700456,0.049999767147555,0.0,0.0,0.0019999998330498922,0.0,2.3285137756591022e-07,1.2825248887149709e-12
1.304430088212174e-12,0.066515776,0.938,0.0,2.5617310048329792e-09,0.0,8.664241832027404e-13,1.7047020737049862e-10,0.0,0.0,0.039361907678924765,0.009999998719246268,0.04999976307445909,0.0,0.0,0.0019999998295297935,0.0,2.369244509785082e-07,1.3135251918647546e-12
1.3313734682084853e-12,0.066515776,0.938,0.0,2.6146479932870857e-09,0.0,8.803133943546992e-13,1.7399026391035061e-10,0.0,0.0,0.03936190357984691,0.009999998692792085,0.04999975903184078,0.0,0.0,0.001999999826009737,0.0,2.409670467779982e-07,1.3446633230430368e-12
1.3583168482047965e-12,0.066515776,0.938,0.0,2.6675651070963674e-09,0.0,8.9406613121498e-13,1.7751027781629713e-10,0.0,0.0,0.03936189951101851,0.009999998666337908,0.049999755019472014,0.0,0.0,0.0019999998224897227,0.0,2.44979393019353e-07,1.3759379279133211e-12
1.3852602282011078e-12,0.066515776,0.938,0.0,2.720482345000681e-09,0.0,9.076837350760925e-13,1.810302490915467e-10,0.0,0.0,0.039361895472213235,0.00999999863988374,0.04999975103712647,0.0,0.0,0.001999999818969752,0.0,2.489617160510774e-07,1.4073476654503165e-12
1.412203608197419e-12,0.066515776,0.938,0.0,2.7733997057524608e-09,0.0,9.211675340475258e-13,1.8455017773928757e-10,0.0,0.0,0.03936189146320644,0.009999998613429574,0.049999747084579486,0.0,0.0,0.0019999998154498233,0.0,2.5291424052797716e-07,1.4388912078090963e-12
1.4391469881937303e-12,0.066515776,0.938,0.0,2.8263171881165895e-09,0.0,9.345188431853235e-13,1.880700637626881e-10,0.0,0.0,0.03936188748377515,0.009999998586975414,0.049999743161608066,0.0,0.0,0.001999999811929937,0.0,2.568371894238326e-07,1.4705672401955489e-12
1.4660903681900416e-12,0.066515776,0.938,0.0,2.879234790870277e-09,0.0,9.477389646203836e-13,1.9158990716489653e-10,0.0,0.0,0.03936188353369805,0.00999999856052126,0.04999973926799092,0.0,0.0,0.0019999998084100933,0.0,2.607307840439772e-07,1.5023744607380937e-12
1.4930337481863529e-12,0.066515776,0.938,0.0,2.9321525128029373e-09,0.0,9.608291876855013e-13,1.9510970794904148e-10,0.0,0.0,0.039361879612755515,0.00999999853406711,0.04999973540350842,0.0,0.0,0.001999999804890293,0.0,2.645952440377816e-07,1.5343115803606688e-12
