Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.3882373420701073e-09,0.08314471999999999,2.32249984468404e-06,0.0002659316283908837,2.682842564926568e-12,2.687997113250627e-10,1.355179723436402e-10,3.150407563582569e-12,4.2304460172398417e-17,7.227212639732503e-15,2.1155241069602334e-26,2.393851616711928e-27,1.1813509545074159e-13,0.054,0.0,0.0,0.0587169842132091,0.8798670340478043,7.074311850306757e-12,3.2277914507790813e-25,4.644986824993986e-18,0.06599767735879677,5.073934722194872e-21
2.3962217551617852e-09,0.08314471999999999,2.3224648397653907e-06,0.0002668166076673492,2.6834940608623224e-12,2.7062944074163387e-10,1.3644281163996536e-10,3.193567718200501e-12,4.310094275616612e-17,7.301106847965954e-15,-2.0080037028667676e-25,-2.7038099177578846e-27,1.1898172577645072e-13,0.054,0.0,0.0,0.058716099266138265,0.8798665915572136,7.148581022470951e-12,3.328430479354872e-25,4.742069052098034e-18,0.06599767739283297,5.0798957707001824e-21
2.404206168253463e-09,0.08314471999999999,2.3224298359181154e-06,0.00026770155981656243,2.684145570724816e-12,2.724654427057487e-10,1.3737066379149644e-10,3.2371662581315597e-12,4.390972065322292e-17,7.375495881438744e-15,1.7248202311986113e-25,2.8432759999172385e-27,1.198317996411059e-13,0.054,0.0,0.0,0.05871521434618386,0.879866149080183,7.223381433256494e-12,3.4318409662373546e-25,4.840834669480741e-18,0.06599767742686463,5.080335661651303e-21
2.412190581345141e-09,0.08314471999999999,2.322394833142165e-06,0.00026858648483978504,2.684797095605483e-12,2.7430771873414073e-10,1.383015273495165e-10,3.281206094887564e-12,4.47309426883897e-17,7.450381289614787e-15,7.663314586752627e-26,-3.599412385148669e-27,1.2068532323293064e-13,0.054,0.0,0.0,0.05871432945334465,0.8798657066167123,7.298715239012654e-12,3.538089231362835e-25,4.941306921199542e-18,0.06599767746089177,5.0733246039444234e-21
2.420174994436819e-09,0.08314471999999999,2.3223598314374888e-06,0.00026947138273826786,2.685448636582391e-12,2.7615627034542864e-10,1.3923540085668988e-10,3.325690148952044e-12,4.556475899988164e-17,7.525764620448768e-15,-2.8579473822380685e-25,4.854141691822729e-27,1.2154230276201394e-13,0.054,0.0,0.0,0.058713444587619394,0.8798652641668003,7.374584599957093e-12,3.6472429440616764e-25,5.0435092905436255e-18,0.06599767749491439,5.080456107311569e-21
2.428159407528497e-09,0.08314471999999999,2.3223248308040374e-06,0.00027035625351327214,2.686100194720447e-12,2.7801109906008144e-10,1.4017228284707237e-10,3.3706213497709235e-12,4.641132104647859e-17,7.601647420378793e-15,1.882538488633012e-25,-6.487374509919173e-27,1.2240274446031235e-13,0.054,0.0,0.0,0.05871255974900679,0.8798648217304467,7.45099168018956e-12,3.759371145700138e-25,5.147465501650628e-18,0.06599767752893249,5.081623707354661e-21
2.436143820620175e-09,0.08314471999999999,2.3222898312417612e-06,0.0002712410971660466,2.6867517710715988e-12,2.7987220640038156e-10,1.4111217184612045e-10,3.416002635742856e-12,4.7270781614965644e-17,7.678031234319412e-15,1.6512068717372577e-25,8.926933178885464e-27,1.2326665458165145e-13,0.054,0.0,0.0,0.058711674937505606,0.8798643793076509,7.527938647705569e-12,3.8745442726211243e-25,5.253199521128336e-18,0.06599767756294606,5.0717137248074544e-21
2.4441282337118527e-09,0.08314471999999999,2.322254832750609e-06,0.00027212591369785616,2.687403366675031e-12,2.817395938903887e-10,1.4205506637070152e-10,3.4618369542095803e-12,4.8143294827571187e-17,7.7549176056541e-15,-3.922080995209945e-25,-1.2810109333991656e-26,1.2413403940172713e-13,0.054,0.0,0.0,0.05871079015311457,0.8798639368984121,7.605427674410054e-12,3.992834179386893e-25,5.360735559681349e-18,0.0659976775969551,5.079475926604689e-21
2.4521126468035307e-09,0.08314471999999999,2.3222198353305305e-06,0.00027301070310994496,2.6880549825573564e-12,2.8361326305590396e-10,1.430009649291036e-10,3.5081272614465568e-12,4.9029016149116687e-17,7.832308076228362e-15,1.8473438989141593e-25,1.891127902675952e-26,1.2500490521810706e-13,0.054,0.0,0.0,0.05870990539583244,0.8798634945027297,7.683460936131088e-12,4.114314162326658e-25,5.470098073742719e-18,0.0659976776309596,5.084603058280865e-21
2.4600970598952086e-09,0.08314471999999999,2.322184838981477e-06,0.000273895465403585,2.6887066197328077e-12,2.8549321542443326e-10,1.4394986602104512e-10,3.5548765226531633e-12,4.9928102394515203e-17,7.910204186342162e-15,2.987863804902239e-25,-2.8609392693840245e-26,1.2587925835023237e-13,0.054,0.0,0.0,0.058709020665657946,0.8798630521206031,7.762040612633532e-12,4.239058983391817e-25,5.581311767110559e-18,0.06599767766495956,5.069406879076937e-21
2.4680814729868865e-09,0.08314471999999999,2.3221498437033976e-06,0.0002747802005800084,2.689358279203416e-12,2.873794525251509e-10,1.4490176813768522e-10,3.6020877119428587e-12,5.084071173633266e-17,7.988607474743311e-15,-5.194549818836011e-25,4.4425940274286996e-26,1.2675710513941865e-13,0.054,0.0,0.0,0.05870813596258984,0.8798626097520317,7.841168887632734e-12,4.367144894321622e-25,5.694401592589607e-18,0.065997677698955,5.079248215370252e-21
2.4760658860785644e-09,0.08314471999999999,2.322114849496243e-06,0.00027566490864050535,2.6900099619592013e-12,2.892719758888632e-10,1.4585666976163338e-10,3.64976381233377e-12,5.176700371190194e-17,8.067519478619535e-15,1.4639188657602288e-25,-7.07376155007183e-26,1.2763845194885743e-13,0.054,0.0,0.0,0.05870725128662684,0.879862167397015,7.92084794880819e-12,4.49864966112227e-25,5.809392753637715e-18,0.06599767773294589,5.086436924379458e-21
2.4840502991702423e-09,0.08314471999999999,2.3220798563599614e-06,0.0002765495895862782,2.6906616689783395e-12,2.91170787047972e-10,1.468145693669594e-10,3.697907815738783e-12,5.270713923085412e-17,8.14694173359246e-15,4.922951702389816e-25,1.1528542897842586e-25,1.2852330516361725e-13,0.054,0.0,0.0,0.05870636663776773,0.879861725055552,8.001079987817261e-12,4.633652588862421e-25,5.926310706017287e-18,0.06599767776693224,5.0698380836036655e-21
2.4920347122619202e-09,0.08314471999999999,2.3220448642945037e-06,0.0002774342434186655,2.6913134012273443e-12,2.9307588753643836e-10,1.4777546541920378e-10,3.746522722955453e-12,5.3661280582855017e-17,8.226875773708731e-15,-6.631064029753596e-25,-1.9213044536236763e-25,1.2941167119064474e-13,0.054,0.0,0.0,0.058705482016011175,0.8798612827276424,8.081867200308821e-12,4.772234546788071e-25,6.045181159451652e-18,0.06599767780091406,5.0733306910794985e-21
2.500019125353598e-09,0.08314471999999999,2.3220098732998205e-06,0.0002783188701387887,2.69196515966123e-12,2.9498727888974506e-10,1.4873935637538721e-10,3.795611543656596e-12,5.462959144465265e-17,8.307323131435633e-15,5.114203947830606e-26,3.27175532468962e-25,1.3030355645876573e-13,0.054,0.0,0.0,0.058704597421356045,0.8798608404132854,8.163211785936962e-12,4.914477993759749e-25,6.166030079286351e-18,0.06599767783489134,5.096758956534972e-21
2.508003538445276e-09,0.08314471999999999,2.3219748833758607e-06,0.0002792034697481236,2.6926169452236828e-12,2.9690496264486146e-10,1.4970624068402162e-10,3.845177296380252e-12,5.561223688762146e-17,8.388285337649596e-15,7.616116319674483e-25,-5.687988343648691e-25,1.3119896741868673e-13,0.054,0.0,0.0,0.05870371285380089,0.8798603981124806,8.245115948374678e-12,5.060467004015129e-25,6.2888836881553276e-18,0.06599767786886408,5.0586125409931655e-21
2.515987951536954e-09,0.08314471999999999,2.3219398945225785e-06,0.0002800880422475536,2.6932687588472164e-12,2.9882894034020473e-10,1.5067611678511902e-10,3.895223008519377e-12,5.660938338571063e-17,8.469763921636338e-15,-8.1126697446006955e-25,1.0087699820507094e-24,1.3209791054299487e-13,0.054,0.0,0.0,0.058702828313344765,0.8798599558252271,8.327581895327533e-12,5.21028729325984e-25,6.4137684676520426e-18,0.06599767790283229,5.085831031148082e-21
