Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.00048372194946046625,0.043484688560000005,0.054,0.0,0.025722637119932112,0.0,0.0,4.0568490918350946e-07,0.0,0.0,9.961017217256478e-06,0.8671386814400319,0.0,0.0,0.0,0.065999594315091,0.0
0.0004850519163470105,0.043484688560000005,0.054,0.0,0.02572266553190259,0.0,0.0,4.045730479337039e-07,0.0,0.0,9.933717108032755e-06,0.8671386672340468,0.0,0.0,0.0,0.06599959542695225,0.0
0.00048638188323355474,0.043484688560000005,0.054,0.0,0.025722693788561176,0.0,0.0,4.034672646032782e-07,0.0,0.0,9.906566232774776e-06,0.8671386531057172,0.0,0.0,0.0,0.06599959653273559,0.0
0.000487711850120099,0.043484688560000005,0.054,0.0,0.025722721891177913,0.0,0.0,4.0236750949113674e-07,0.0,0.0,9.879563371151492e-06,0.867138639054409,0.0,0.0,0.0,0.06599959763249069,0.0
0.0004890418170066433,0.043484688560000005,0.054,0.0,0.025722749841009016,0.0,0.0,4.012737334366079e-07,0.0,0.0,9.852707316101051e-06,0.8671386250794935,0.0,0.0,0.0,0.06599959872626673,0.0
0.0004903717838931875,0.043484688560000005,0.054,0.0,0.02572277763929709,0.0,0.0,4.0018588781211777e-07,0.0,0.0,9.825996873650944e-06,0.8671386111803493,0.0,0.0,0.0,0.06599959981411235,0.0
0.0004917017507797318,0.043484688560000005,0.054,0.0,0.025722805287271295,0.0,0.0,3.991039245159837e-07,0.0,0.0,9.799430862741048e-06,0.8671385973563622,0.0,0.0,0.0,0.06599960089607565,0.0
0.000493031717666276,0.043484688560000005,0.054,0.0,0.025722832786147537,0.0,0.0,3.9802779596532435e-07,0.0,0.0,9.77300811504955e-06,0.8671385836069242,0.0,0.0,0.0,0.06599960197220421,0.0
0.0004943616845528203,0.043484688560000005,0.054,0.0,0.025722860137128642,0.0,0.0,3.969574550890845e-07,0.0,0.0,9.746727474821688e-06,0.8671385699314337,0.0,0.0,0.0,0.06599960304254508,0.0
0.0004956916514393645,0.043484688560000005,0.054,0.0,0.02572288734140453,0.0,0.0,3.9589285532117066e-07,0.0,0.0,9.720587798701196e-06,0.8671385563292957,0.0,0.0,0.0,0.06599960410714484,0.0
0.0004970216183259088,0.043484688560000005,0.054,0.0,0.025722914400152393,0.0,0.0,3.9483395059369924e-07,0.0,0.0,9.694587955564522e-06,0.8671385427999218,0.0,0.0,0.0,0.06599960516604957,0.0
0.000498351585212453,0.043484688560000005,0.054,0.0,0.025722941314536864,0.0,0.0,3.937806953303502e-07,0.0,0.0,9.668726826357658e-06,0.8671385293427294,0.0,0.0,0.0,0.06599960621930483,0.0
0.0004996815520989972,0.043484688560000005,0.054,0.0,0.02572296808571018,0.0,0.0,3.9273304443982776e-07,0.0,0.0,9.643003303935571e-06,0.8671385159571429,0.0,0.0,0.0,0.06599960726695571,0.0
0.0005010115189855415,0.043484688560000005,0.054,0.0,0.02572299471481234,0.0,0.0,3.91690953309428e-07,0.0,0.0,9.617416292904236e-06,0.8671385026425918,0.0,0.0,0.0,0.06599960830904684,0.0
0.0005023414858720857,0.043484688560000005,0.054,0.0,0.02572302120297129,0.0,0.0,3.906543777987022e-07,0.0,0.0,9.591964709465107e-06,0.8671384893985122,0.0,0.0,0.0,0.06599960934562238,0.0
0.00050367145275863,0.043484688560000005,0.054,0.0,0.02572304755130306,0.0,0.0,3.896232742332269e-07,0.0,0.0,9.566647481262116e-06,0.8671384762243463,0.0,0.0,0.0,0.06599961037672593,0.0
0.0005050014196451742,0.043484688560000005,0.054,0.0,0.02572307376091193,0.0,0.0,3.8859759939847024e-07,0.0,0.0,9.541463547231054e-06,0.867138463119542,0.0,0.0,0.0,0.06599961140240075,0.0
0.0005063313865317185,0.043484688560000005,0.054,0.0,0.025723099832890572,0.0,0.0,3.8757731053375285e-07,0.0,0.0,9.516411857451333e-06,0.8671384500835525,0.0,0.0,0.0,0.06599961242268963,0.0
0.0005076613534182627,0.043484688560000005,0.054,0.0,0.02572312576832023,0.0,0.0,3.865623653263057e-07,0.0,0.0,9.49149137300007e-06,0.8671384371158377,0.0,0.0,0.0,0.06599961343763483,0.0
0.000508991320304807,0.043484688560000005,0.054,0.0,0.02572315156827084,0.0,0.0,3.85552721905422e-07,0.0,0.0,9.466701065808471e-06,0.8671384242158626,0.0,0.0,0.0,0.06599961444727827,0.0
0.0005103212871913512,0.043484688560000005,0.054,0.0,0.0257231772338012,0.0,0.0,3.845483388366973e-07,0.0,0.0,9.442039918520462e-06,0.8671384113830972,0.0,0.0,0.0,0.06599961545166133,0.0
0.0005116512540778955,0.043484688560000005,0.054,0.0,0.02572320276595909,0.0,0.0,3.8354917511636283e-07,0.0,0.0,9.417506924353492e-06,0.8671383986170184,0.0,0.0,0.0,0.06599961645082505,0.0
0.0005129812209644397,0.043484688560000005,0.054,0.0,0.02572322816578143,0.0,0.0,3.8255519016570477e-07,0.0,0.0,9.393101086961552e-06,0.8671383859171071,0.0,0.0,0.0,0.06599961744481,0.0
0.0005143111878509839,0.043484688560000005,0.054,0.0,0.02572325343429443,0.0,0.0,3.8156634382557026e-07,0.0,0.0,9.368821420300259e-06,0.8671383732828507,0.0,0.0,0.0,0.06599961843365633,0.0
0.0005156411547375282,0.043484688560000005,0.054,0.0,0.02572327857251371,0.0,0.0,3.805825963509601e-07,0.0,0.0,9.34466694849409e-06,0.867138360713741,0.0,0.0,0.0,0.06599961941740382,0.0
0.0005169711216240724,0.043484688560000005,0.054,0.0,0.025723303581444448,0.0,0.0,3.796039084057018e-07,0.0,0.0,9.320636705705605e-06,0.8671383482092757,0.0,0.0,0.0,0.06599962039609175,0.0
0.0005183010885106167,0.043484688560000005,0.054,0.0,0.025723328462081495,0.0,0.0,3.786302410572084e-07,0.0,0.0,9.296729736006733e-06,0.8671383357689572,0.0,0.0,0.0,0.0659996213697591,0.0
0.0005196310553971609,0.043484688560000005,0.054,0.0,0.025723353215409535,0.0,0.0,3.7766155577131433e-07,0.0,0.0,9.27294509325199e-06,0.867138323392293,0.0,0.0,0.0,0.0659996223384444,0.0
