Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
2.332835861135672e-07,0.05595639656,0.054,0.0,0.0,0.017136831684714596,0.8687198830024024,0.0,0.0,0.0,0.066,0.0,0.02256023399519548
2.3456438621575142e-07,0.05595639656,0.054,0.0,0.0,0.017083777242779995,0.8686933557814351,0.0,0.0,0.0,0.066,0.0,0.02261328843713008
2.3584518631793563e-07,0.05595639656,0.054,0.0,0.0,0.017031051892834857,0.8686669931064626,0.0,0.0,0.0,0.066,0.0,0.02266601378707522
2.3712598642011985e-07,0.05595639656,0.054,0.0,0.0,0.01697865257257737,0.8686407934463338,0.0,0.0,0.0,0.066,0.0,0.022718413107332705
2.3840678652230406e-07,0.05595639656,0.054,0.0,0.0,0.016926576257671834,0.8686147552888811,0.0,0.0,0.0,0.066,0.0,0.022770489422238242
2.3968758662448825e-07,0.05595639656,0.054,0.0,0.0,0.016874819961160987,0.8685888771406257,0.0,0.0,0.0,0.066,0.0,0.02282224571874909
2.4096838672667247e-07,0.05595639656,0.054,0.0,0.0,0.016823380732889276,0.8685631575264898,0.0,0.0,0.0,0.066,0.0,0.0228736849470208
2.422491868288567e-07,0.05595639656,0.054,0.0,0.0,0.016772255658936787,0.8685375949895137,0.0,0.0,0.0,0.066,0.0,0.02292481002097329
2.435299869310409e-07,0.05595639656,0.054,0.0,0.0,0.016721441861063568,0.868512188090577,0.0,0.0,0.0,0.066,0.0,0.02297562381884651
2.448107870332251e-07,0.05595639656,0.054,0.0,0.0,0.016670936496164197,0.8684869354081274,0.0,0.0,0.0,0.066,0.0,0.02302612918374588
2.460915871354093e-07,0.05595639656,0.054,0.0,0.0,0.01662073675573235,0.8684618355379113,0.0,0.0,0.0,0.066,0.0,0.023076328924177728
2.4737238723759354e-07,0.05595639656,0.054,0.0,0.0,0.01657083986533506,0.8684368870927127,0.0,0.0,0.0,0.066,0.0,0.023126225814575015
2.4865318733977775e-07,0.05595639656,0.054,0.0,0.0,0.016521243084096717,0.8684120887020936,0.0,0.0,0.0,0.066,0.0,0.02317582259581336
2.4993398744196197e-07,0.05595639656,0.054,0.0,0.0,0.01647194370419222,0.8683874390121412,0.0,0.0,0.0,0.066,0.0,0.023225121975717855
2.512147875441462e-07,0.05595639656,0.054,0.0,0.0,0.016422939050349483,0.8683629366852199,0.0,0.0,0.0,0.066,0.0,0.023274126629560594
2.524955876463304e-07,0.05595639656,0.054,0.0,0.0,0.0163742264793608,0.8683385803997256,0.0,0.0,0.0,0.066,0.0,0.023322839200549277
2.537763877485146e-07,0.05595639656,0.054,0.0,0.0,0.016325803379603043,0.8683143688498468,0.0,0.0,0.0,0.066,0.0,0.023371262300307033
2.550571878506988e-07,0.05595639656,0.054,0.0,0.0,0.016277667170566484,0.8682903007453284,0.0,0.0,0.0,0.066,0.0,0.023419398509343593
2.5633798795288304e-07,0.05595639656,0.054,0.0,0.0,0.016229815302391957,0.8682663748112411,0.0,0.0,0.0,0.066,0.0,0.02346725037751812
2.5761878805506725e-07,0.05595639656,0.054,0.0,0.0,0.01618224525541638,0.8682425897877533,0.0,0.0,0.0,0.066,0.0,0.023514820424493696
2.5889958815725146e-07,0.05595639656,0.054,0.0,0.0,0.016134954539726257,0.8682189444299083,0.0,0.0,0.0,0.066,0.0,0.02356211114018382
2.601803882594357e-07,0.05595639656,0.054,0.0,0.0,0.016087940694719156,0.8681954375074048,0.0,0.0,0.0,0.066,0.0,0.02360912498519092
2.614611883616199e-07,0.05595639656,0.054,0.0,0.0,0.01604120128867286,0.8681720678043817,0.0,0.0,0.0,0.066,0.0,0.023655864391237215
2.627419884638041e-07,0.05595639656,0.054,0.0,0.0,0.01599473391832222,0.8681488341192063,0.0,0.0,0.0,0.066,0.0,0.023702331761587855
2.640227885659883e-07,0.05595639656,0.054,0.0,0.0,0.01594853620844332,0.8681257352642668,0.0,0.0,0.0,0.066,0.0,0.023748529471466755
2.6530358866817254e-07,0.05595639656,0.054,0.0,0.0,0.01590260581144497,0.8681027700657676,0.0,0.0,0.0,0.066,0.0,0.023794459868465106
2.6658438877035675e-07,0.05595639656,0.054,0.0,0.0,0.015856940406967356,0.8680799373635287,0.0,0.0,0.0,0.066,0.0,0.02384012527294272
2.6786518887254096e-07,0.05595639656,0.054,0.0,0.0,0.015811537701487636,0.8680572360107889,0.0,0.0,0.0,0.066,0.0,0.02388552797842244
2.691459889747252e-07,0.05595639656,0.054,0.0,0.0,0.0157663954279324,0.8680346648740114,0.0,0.0,0.0,0.066,0.0,0.023930670251977676
2.704267890769094e-07,0.05595639656,0.054,0.0,0.0,0.01572151134529683,0.8680122228326936,0.0,0.0,0.0,0.066,0.0,0.023975554334613246
2.717075891790936e-07,0.05595639656,0.054,0.0,0.0,0.01567688323827043,0.8679899087791806,0.0,0.0,0.0,0.066,0.0,0.024020182441639646
2.729883892812778e-07,0.05595639656,0.054,0.0,0.0,0.015632508916869178,0.8679677216184798,0.0,0.0,0.0,0.066,0.0,0.0240645567630409
2.7426918938346204e-07,0.05595639656,0.054,0.0,0.0,0.01558838621607407,0.8679456602680823,0.0,0.0,0.0,0.066,0.0,0.024108679463836002
2.7554998948564625e-07,0.05595639656,0.054,0.0,0.0,0.015544512995475697,0.8679237236577833,0.0,0.0,0.0,0.066,0.0,0.024152552684434378
2.7683078958783046e-07,0.05595639656,0.054,0.0,0.0,0.015500887138925026,0.867901910729508,0.0,0.0,0.0,0.066,0.0,0.024196178540985047
2.781115896900147e-07,0.05595639656,0.054,0.0,0.0,0.015457506554190047,0.8678802204371405,0.0,0.0,0.0,0.066,0.0,0.024239559125720022
2.793923897921989e-07,0.05595639656,0.054,0.0,0.0,0.015414369172618273,0.8678586517463546,0.0,0.0,0.0,0.066,0.0,0.024282696507291802
2.806731898943831e-07,0.05595639656,0.054,0.0,0.0,0.01537147294880491,0.8678372036344479,0.0,0.0,0.0,0.066,0.0,0.024325592731105166
2.819539899965673e-07,0.05595639656,0.054,0.0,0.0,0.015328815860266656,0.8678158750901789,0.0,0.0,0.0,0.066,0.0,0.024368249819643414
2.8323479009875154e-07,0.05595639656,0.054,0.0,0.0,0.015286395907120989,0.8677946651136059,0.0,0.0,0.0,0.066,0.0,0.02441066977278908
2.8451559020093575e-07,0.05595639656,0.054,0.0,0.0,0.015244211111770807,0.8677735727159309,0.0,0.0,0.0,0.066,0.0,0.024452854568139264
2.8579639030311996e-07,0.05595639656,0.054,0.0,0.0,0.015202259518594342,0.8677525969193426,0.0,0.0,0.0,0.066,0.0,0.024494806161315722
2.870771904053042e-07,0.05595639656,0.054,0.0,0.0,0.015160539193640278,0.8677317367568657,0.0,0.0,0.0,0.066,0.0,0.02453652648626979
2.883579905074884e-07,0.05595639656,0.054,0.0,0.0,0.015119048224327893,0.8677109912722094,0.0,0.0,0.0,0.066,0.0,0.024578017455582177
2.896387906096726e-07,0.05595639656,0.054,0.0,0.0,0.015077784719152207,0.8676903595196214,0.0,0.0,0.0,0.066,0.0,0.024619280960757862
